audio_file|text|speaker_name
processed-audio/lincolnhistoryvol1_16_haynicolay_64kb_chunk_000.wav|Section 16 of Abraham Lincoln, a history volume one. This is a Libravox recording. All Libravox recordings are in the public domain. For more information or to volunteer, please visit Libravox.org.|narrator
processed-audio/lincolnhistoryvol1_16_haynicolay_64kb_chunk_001.wav|Abraham Lincoln, a history volume one, by John G. Nicolay and John Hay, section 16, a fortunate escape. When Congress came together again in December, there was such a change in the...|narrator
processed-audio/lincolnhistoryvol1_16_haynicolay_64kb_chunk_002.wav|September of its members that no one would have imagined, on seeing the house divided, that it was the same body which had assembled there a year before. The election was over. The wigs were to control the executive department of the government for four years to come.|narrator
processed-audio/lincolnhistoryvol1_16_haynicolay_64kb_chunk_003.wav|The members themselves were either reflected or defeated, and there was nothing to prevent the gratification of such private feelings as they might have been suppressing during the canvas in the interests of their party. It was not long before some of the Northern Democrats began.|narrator
processed-audio/lincolnhistoryvol1_16_haynicolay_64kb_chunk_004.wav|to avail themselves of this new liberty. They had returned burdened with a sense of wrong. They had seen their party put in deadly peril by reason of its fidelity to the south, and they had seen how little their southern brother and care for their labors and sacrifices.|narrator
processed-audio/lincolnhistoryvol1_16_haynicolay_64kb_chunk_005.wav|in the enormous gains which Taylor had made in the South, carrying eight out of 15 slave states. They were in the humor to avenge themselves by a display of independence on their own account at the first opportunity. The occasion was not a long...|narrator
processed-audio/lincolnhistoryvol1_16_haynicolay_64kb_chunk_006.wav|in presenting itself. A few days after Congress opened, Mr. Rue de Vohayo introduced a resolution instructing the committee on territories to bring in a bill with as little delay as practicable, to provide territorial governments for California and New-|narrator
processed-audio/lincolnhistoryvol1_16_haynicolay_64kb_chunk_007.wav|Mexico, which should exclude slavery therefrom. This resolution would have thrown the same house into a panic 12 months before, but now it passed by a vote of 108 to 80. In the former number, we're all the...|narrator
processed-audio/lincolnhistoryvol1_16_haynicolay_64kb_chunk_008.wav|weeks from the north and all the Democrats but ate, and in the latter the entire South and the 8 referred to. The Senate, however, was not so susceptible to popular impressions and the bill prepared an obedience to the mandate of the House.|narrator
processed-audio/lincolnhistoryvol1_16_haynicolay_64kb_chunk_009.wav|never got farther than the desk of the Senate chamber. The pro-slavery majority in that body held firmly together till near the close of the session, when they attempted to bring in the new territories without any restrictions as to slavery, by attaching what is called a r-|narrator
processed-audio/lincolnhistoryvol1_16_haynicolay_64kb_chunk_010.wav|to that effect, to the Civil Appropriation Bill. The House resisted and returned the bill to the Senate with the writer unhorst, a committee of conference failed to agree. Mr. McClernid, a Democrat from Illinois.|narrator
processed-audio/lincolnhistoryvol1_16_haynicolay_64kb_chunk_011.wav|anoi, then moved that the house received from its disagreement, which was carried by a few weak votes, to the dismay of those who were not in the secret. When Richard W. Thompson, who was 30 years afterward Secretary of the Navy, instantly moved that the house—|narrator
processed-audio/lincolnhistoryvol1_16_haynicolay_64kb_chunk_012.wav|to concur with the Senate and this amendment that the existing laws of those territories be for the present and until Congress should amend them retained. This would secure them to freedom as slavery had long ago been abolished by Mexico. This amendment that the existing laws of those territories be for the present and until Congress should amend them.|narrator
processed-audio/lincolnhistoryvol1_16_haynicolay_64kb_chunk_013.wav|past, and the Senate had to face the many pronged dilemma, either to defeat the appropriation bill, or to consent that the territories should be organized as free communities, or to swallow their protestations that the territories were in sore need of government and adjourn, leaving|narrator
processed-audio/lincolnhistoryvol1_16_haynicolay_64kb_chunk_014.wav|them in the anarchy they had so feelingly depicted. They chose the last as the least dangerous course and passed the appropriation bill in its original form. Mr. Lincoln took little part in the decisions incident to these proceedings.|narrator
processed-audio/lincolnhistoryvol1_16_haynicolay_64kb_chunk_015.wav|He was constantly in his seat, however, and voted generally with his party, and always with those opposed to the extension of slavery. He used to say that he had voted for the Wilmot Proviso. In its various phases, 42 times. He left.|narrator
processed-audio/lincolnhistoryvol1_16_haynicolay_64kb_chunk_016.wav|others however, the active work on the floor. His chief preoccupation during this second session was a scheme which links itself characteristically with his first protest against the proscriptive spirit of slavery ten years before in the Illinois legislature, and his|narrator
